,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.904,0.802,0.538,-0.032,0.361,0.813,0.276,0.692,0.567
AAPL,0.904,0.0,0.837,0.63,0.116,0.453,0.746,0.475,0.551,0.619
AMD,0.802,0.837,0.0,0.73,0.3,0.745,0.718,0.686,0.424,0.636
AMZN,0.538,0.63,0.73,0.0,0.624,0.758,0.797,0.822,0.297,0.778
GOOGL,-0.032,0.116,0.3,0.624,0.0,0.463,0.321,0.627,-0.359,0.43
INTC,0.361,0.453,0.745,0.758,0.463,0.0,0.551,0.827,0.315,0.699
MARA,0.813,0.746,0.718,0.797,0.321,0.551,0.0,0.464,0.609,0.756
NVDA,0.276,0.475,0.686,0.822,0.627,0.827,0.464,0.0,0.079,0.689
PLUG,0.692,0.551,0.424,0.297,-0.359,0.315,0.609,0.079,0.0,0.528
TSLA,0.567,0.619,0.636,0.778,0.43,0.699,0.756,0.689,0.528,0.0
