,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.861,0.426,0.311,0.454,-0.097,-0.355,0.907,-0.443,-0.132
AAPL,0.861,0.0,0.426,0.39,0.505,-0.038,-0.227,0.895,-0.372,-0.116
AMD,0.426,0.426,0.0,0.076,0.643,0.27,0.266,0.39,-0.217,0.485
AMZN,0.311,0.39,0.076,0.0,0.301,-0.478,-0.391,0.26,-0.483,-0.49
GOOGL,0.454,0.505,0.643,0.301,0.0,0.079,-0.011,0.396,-0.323,0.133
INTC,-0.097,-0.038,0.27,-0.478,0.079,0.0,0.733,-0.117,0.474,0.765
MARA,-0.355,-0.227,0.266,-0.391,-0.011,0.733,0.0,-0.288,0.324,0.823
NVDA,0.907,0.895,0.39,0.26,0.396,-0.117,-0.288,0.0,-0.451,-0.165
PLUG,-0.443,-0.372,-0.217,-0.483,-0.323,0.474,0.324,-0.451,0.0,0.408
TSLA,-0.132,-0.116,0.485,-0.49,0.133,0.765,0.823,-0.165,0.408,0.0
