,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.521,0.7,0.789,0.396,0.039,0.935,0.845,0.778,0.23
AAPL,0.521,0.0,0.56,0.675,0.853,-0.444,0.532,0.752,0.662,-0.043
AMD,0.7,0.56,0.0,0.762,0.65,0.349,0.65,0.848,0.804,0.603
AMZN,0.789,0.675,0.762,0.0,0.562,-0.052,0.843,0.826,0.768,0.285
GOOGL,0.396,0.853,0.65,0.562,0.0,-0.311,0.349,0.679,0.603,0.045
INTC,0.039,-0.444,0.349,-0.052,-0.311,0.0,0.01,0.068,0.106,0.84
MARA,0.935,0.532,0.65,0.843,0.349,0.01,0.0,0.83,0.794,0.242
NVDA,0.845,0.752,0.848,0.826,0.679,0.068,0.83,0.0,0.911,0.403
PLUG,0.778,0.662,0.804,0.768,0.603,0.106,0.794,0.911,0.0,0.474
TSLA,0.23,-0.043,0.603,0.285,0.045,0.84,0.242,0.403,0.474,0.0
