,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.696,0.846,0.883,0.845,0.845,0.312,0.709,0.912,0.691
AAPL,0.696,0.0,0.865,0.651,0.66,0.879,-0.063,0.696,0.792,0.862
AMD,0.846,0.865,0.0,0.829,0.791,0.977,0.19,0.859,0.939,0.88
AMZN,0.883,0.651,0.829,0.0,0.969,0.846,0.6,0.795,0.875,0.562
GOOGL,0.845,0.66,0.791,0.969,0.0,0.832,0.594,0.775,0.839,0.499
INTC,0.845,0.879,0.977,0.846,0.832,0.0,0.198,0.861,0.936,0.838
MARA,0.312,-0.063,0.19,0.6,0.594,0.198,0.0,0.445,0.217,-0.215
NVDA,0.709,0.696,0.859,0.795,0.775,0.861,0.445,0.0,0.713,0.595
PLUG,0.912,0.792,0.939,0.875,0.839,0.936,0.217,0.713,0.0,0.827
TSLA,0.691,0.862,0.88,0.562,0.499,0.838,-0.215,0.595,0.827,0.0
