,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.272,-0.45,-0.251,-0.447,-0.177,-0.411,-0.396,-0.177,0.021
AAPL,-0.272,0.0,0.874,0.931,0.941,0.789,0.887,0.921,0.788,0.841
AMD,-0.45,0.874,0.0,0.92,0.93,0.915,0.973,0.966,0.617,0.597
AMZN,-0.251,0.931,0.92,0.0,0.959,0.841,0.95,0.965,0.819,0.812
GOOGL,-0.447,0.941,0.93,0.959,0.0,0.793,0.954,0.977,0.803,0.766
INTC,-0.177,0.789,0.915,0.841,0.793,0.0,0.867,0.862,0.499,0.55
MARA,-0.411,0.887,0.973,0.95,0.954,0.867,0.0,0.985,0.687,0.672
NVDA,-0.396,0.921,0.966,0.965,0.977,0.862,0.985,0.0,0.737,0.72
PLUG,-0.177,0.788,0.617,0.819,0.803,0.499,0.687,0.737,0.0,0.809
TSLA,0.021,0.841,0.597,0.812,0.766,0.55,0.672,0.72,0.809,0.0
