,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.221,-0.229,-0.149,-0.064,-0.095,-0.433,-0.105,0.3,-0.462
AAPL,-0.221,0.0,0.914,0.907,0.806,0.902,0.854,0.906,0.612,0.887
AMD,-0.229,0.914,0.0,0.878,0.746,0.845,0.796,0.932,0.687,0.842
AMZN,-0.149,0.907,0.878,0.0,0.838,0.809,0.846,0.847,0.702,0.795
GOOGL,-0.064,0.806,0.746,0.838,0.0,0.831,0.769,0.805,0.498,0.689
INTC,-0.095,0.902,0.845,0.809,0.831,0.0,0.821,0.906,0.524,0.864
MARA,-0.433,0.854,0.796,0.846,0.769,0.821,0.0,0.755,0.363,0.955
NVDA,-0.105,0.906,0.932,0.847,0.805,0.906,0.755,0.0,0.686,0.8
PLUG,0.3,0.612,0.687,0.702,0.498,0.524,0.363,0.686,0.0,0.363
TSLA,-0.462,0.887,0.842,0.795,0.689,0.864,0.955,0.8,0.363,0.0
