,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.319,-0.023,-0.81,-0.664,-0.839,0.574,0.371,0.308,-0.765
AAPL,0.319,0.0,0.395,-0.1,0.385,-0.02,0.701,0.819,0.244,0.125
AMD,-0.023,0.395,0.0,0.258,0.3,0.272,0.329,0.417,0.261,0.138
AMZN,-0.81,-0.1,0.258,0.0,0.767,0.872,-0.431,-0.181,-0.118,0.868
GOOGL,-0.664,0.385,0.3,0.767,0.0,0.825,0.045,0.247,-0.095,0.893
INTC,-0.839,-0.02,0.272,0.872,0.825,0.0,-0.312,-0.189,-0.294,0.856
MARA,0.574,0.701,0.329,-0.431,0.045,-0.312,0.0,0.665,0.427,-0.227
NVDA,0.371,0.819,0.417,-0.181,0.247,-0.189,0.665,0.0,0.267,0.046
PLUG,0.308,0.244,0.261,-0.118,-0.095,-0.294,0.427,0.267,0.0,-0.088
TSLA,-0.765,0.125,0.138,0.868,0.893,0.856,-0.227,0.046,-0.088,0.0
