,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.507,0.095,0.045,-0.28,0.297,-0.518,-0.352,0.435,-0.041
AAPL,-0.507,0.0,-0.065,0.35,0.921,0.398,0.836,0.821,-0.205,0.712
AMD,0.095,-0.065,0.0,0.645,-0.205,0.415,0.107,0.342,0.59,0.172
AMZN,0.045,0.35,0.645,0.0,0.274,0.634,0.452,0.63,0.271,0.44
GOOGL,-0.28,0.921,-0.205,0.274,0.0,0.493,0.7,0.682,-0.143,0.701
INTC,0.297,0.398,0.415,0.634,0.493,0.0,0.317,0.549,0.428,0.593
MARA,-0.518,0.836,0.107,0.452,0.7,0.317,0.0,0.826,-0.13,0.602
NVDA,-0.352,0.821,0.342,0.63,0.682,0.549,0.826,0.0,-0.075,0.677
PLUG,0.435,-0.205,0.59,0.271,-0.143,0.428,-0.13,-0.075,0.0,0.222
TSLA,-0.041,0.712,0.172,0.44,0.701,0.593,0.602,0.677,0.222,0.0
