,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.109,-0.158,0.465,-0.11,0.342,-0.082,-0.53,0.224,-0.196
AAPL,0.109,0.0,0.825,-0.084,0.84,0.57,0.745,0.642,0.717,-0.245
AMD,-0.158,0.825,0.0,-0.37,0.941,0.601,0.844,0.781,0.558,-0.086
AMZN,0.465,-0.084,-0.37,0.0,-0.388,-0.184,-0.115,-0.462,-0.253,-0.248
GOOGL,-0.11,0.84,0.941,-0.388,0.0,0.623,0.833,0.707,0.619,-0.081
INTC,0.342,0.57,0.601,-0.184,0.623,0.0,0.485,0.101,0.503,0.259
MARA,-0.082,0.745,0.844,-0.115,0.833,0.485,0.0,0.614,0.35,-0.019
NVDA,-0.53,0.642,0.781,-0.462,0.707,0.101,0.614,0.0,0.461,-0.162
PLUG,0.224,0.717,0.558,-0.253,0.619,0.503,0.35,0.461,0.0,-0.117
TSLA,-0.196,-0.245,-0.086,-0.248,-0.081,0.259,-0.019,-0.162,-0.117,0.0
