,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.162,0.564,-0.62,-0.653,0.774,0.827,0.353,0.632,0.317
AAPL,-0.162,0.0,0.383,0.523,0.098,0.224,0.162,0.589,0.326,0.566
AMD,0.564,0.383,0.0,0.088,-0.511,0.92,0.836,0.833,0.935,0.829
AMZN,-0.62,0.523,0.088,0.0,0.552,-0.212,-0.261,0.18,0.031,0.373
GOOGL,-0.653,0.098,-0.511,0.552,0.0,-0.661,-0.682,-0.452,-0.582,-0.302
INTC,0.774,0.224,0.92,-0.212,-0.661,0.0,0.918,0.707,0.909,0.694
MARA,0.827,0.162,0.836,-0.261,-0.682,0.918,0.0,0.624,0.892,0.672
NVDA,0.353,0.589,0.833,0.18,-0.452,0.707,0.624,0.0,0.773,0.781
PLUG,0.632,0.326,0.935,0.031,-0.582,0.909,0.892,0.773,0.0,0.863
TSLA,0.317,0.566,0.829,0.373,-0.302,0.694,0.672,0.781,0.863,0.0
