,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.554,0.376,0.638,0.141,0.313,0.68,0.786,0.046,0.498
AAPL,0.554,0.0,0.715,0.601,0.845,0.759,0.541,0.818,0.043,0.932
AMD,0.376,0.715,0.0,0.591,0.739,0.726,0.421,0.669,0.114,0.68
AMZN,0.638,0.601,0.591,0.0,0.347,0.517,0.72,0.706,0.237,0.666
GOOGL,0.141,0.845,0.739,0.347,0.0,0.787,0.257,0.589,0.029,0.807
INTC,0.313,0.759,0.726,0.517,0.787,0.0,0.642,0.751,0.381,0.778
MARA,0.68,0.541,0.421,0.72,0.257,0.642,0.0,0.803,0.543,0.669
NVDA,0.786,0.818,0.669,0.706,0.589,0.751,0.803,0.0,0.325,0.821
PLUG,0.046,0.043,0.114,0.237,0.029,0.381,0.543,0.325,0.0,0.297
TSLA,0.498,0.932,0.68,0.666,0.807,0.778,0.669,0.821,0.297,0.0
