,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.924,-0.796,-0.81,-0.682,0.581,-0.331,-0.881,-0.254,-0.611
AAPL,-0.924,0.0,0.867,0.863,0.865,-0.536,0.293,0.919,0.295,0.625
AMD,-0.796,0.867,0.0,0.591,0.705,-0.425,0.458,0.95,0.519,0.781
AMZN,-0.81,0.863,0.591,0.0,0.798,-0.62,-0.003,0.689,-0.027,0.291
GOOGL,-0.682,0.865,0.705,0.798,0.0,-0.271,0.132,0.73,0.196,0.43
INTC,0.581,-0.536,-0.425,-0.62,-0.271,0.0,0.245,-0.514,-0.189,-0.415
MARA,-0.331,0.293,0.458,-0.003,0.132,0.245,0.0,0.439,0.311,0.451
NVDA,-0.881,0.919,0.95,0.689,0.73,-0.514,0.439,0.0,0.533,0.824
PLUG,-0.254,0.295,0.519,-0.027,0.196,-0.189,0.311,0.533,0.0,0.768
TSLA,-0.611,0.625,0.781,0.291,0.43,-0.415,0.451,0.824,0.768,0.0
