,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.544,0.904,0.883,0.398,0.857,0.938,0.936,0.925,0.899
AAPL,0.544,0.0,0.617,0.678,0.852,0.193,0.598,0.735,0.686,0.416
AMD,0.904,0.617,0.0,0.906,0.575,0.829,0.904,0.94,0.919,0.911
AMZN,0.883,0.678,0.906,0.0,0.521,0.736,0.932,0.936,0.908,0.858
GOOGL,0.398,0.852,0.575,0.521,0.0,0.069,0.398,0.586,0.533,0.27
INTC,0.857,0.193,0.829,0.736,0.069,0.0,0.854,0.763,0.75,0.935
MARA,0.938,0.598,0.904,0.932,0.398,0.854,0.0,0.95,0.937,0.938
NVDA,0.936,0.735,0.94,0.936,0.586,0.763,0.95,0.0,0.966,0.888
PLUG,0.925,0.686,0.919,0.908,0.533,0.75,0.937,0.966,0.0,0.882
TSLA,0.899,0.416,0.911,0.858,0.27,0.935,0.938,0.888,0.882,0.0
