,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.189,-0.653,0.541,0.715,-0.094,0.498,0.53,0.132,0.712
AAPL,-0.189,0.0,0.625,-0.703,-0.432,-0.289,0.613,0.216,-0.032,-0.434
AMD,-0.653,0.625,0.0,-0.684,-0.62,0.137,0.051,-0.161,-0.274,-0.415
AMZN,0.541,-0.703,-0.684,0.0,0.725,0.515,-0.122,0.244,0.18,0.57
GOOGL,0.715,-0.432,-0.62,0.725,0.0,0.158,0.116,0.162,-0.076,0.649
INTC,-0.094,-0.289,0.137,0.515,0.158,0.0,-0.171,0.163,-0.094,0.266
MARA,0.498,0.613,0.051,-0.122,0.116,-0.171,0.0,0.65,0.039,0.124
NVDA,0.53,0.216,-0.161,0.244,0.162,0.163,0.65,0.0,0.365,0.35
PLUG,0.132,-0.032,-0.274,0.18,-0.076,-0.094,0.039,0.365,0.0,-0.024
TSLA,0.712,-0.434,-0.415,0.57,0.649,0.266,0.124,0.35,-0.024,0.0
