,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.76,0.353,0.489,0.468,-0.036,0.403,0.684,0.805,-0.228
AAPL,0.76,0.0,0.488,0.662,0.743,-0.27,0.528,0.918,0.744,0.105
AMD,0.353,0.488,0.0,0.031,0.619,0.257,0.666,0.651,0.392,0.11
AMZN,0.489,0.662,0.031,0.0,0.537,-0.676,0.247,0.661,0.335,0.233
GOOGL,0.468,0.743,0.619,0.537,0.0,-0.378,0.544,0.852,0.558,0.263
INTC,-0.036,-0.27,0.257,-0.676,-0.378,0.0,0.264,-0.336,-0.001,-0.468
MARA,0.403,0.528,0.666,0.247,0.544,0.264,0.0,0.574,0.292,-0.182
NVDA,0.684,0.918,0.651,0.661,0.852,-0.336,0.574,0.0,0.662,0.243
PLUG,0.805,0.744,0.392,0.335,0.558,-0.001,0.292,0.662,0.0,-0.009
TSLA,-0.228,0.105,0.11,0.233,0.263,-0.468,-0.182,0.243,-0.009,0.0
