,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.6,0.059,0.525,0.706,0.165,0.638,-0.28,0.735,-0.03
AAPL,-0.6,0.0,-0.385,-0.303,-0.124,0.344,-0.723,0.248,-0.718,-0.093
AMD,0.059,-0.385,0.0,0.61,-0.03,-0.485,0.322,0.701,0.657,0.852
AMZN,0.525,-0.303,0.61,0.0,0.625,-0.127,0.318,0.478,0.755,0.558
GOOGL,0.706,-0.124,-0.03,0.625,0.0,0.398,0.291,-0.062,0.426,-0.099
INTC,0.165,0.344,-0.485,-0.127,0.398,0.0,-0.144,-0.221,-0.273,-0.41
MARA,0.638,-0.723,0.322,0.318,0.291,-0.144,0.0,-0.054,0.724,0.15
NVDA,-0.28,0.248,0.701,0.478,-0.062,-0.221,-0.054,0.0,0.224,0.788
PLUG,0.735,-0.718,0.657,0.755,0.426,-0.273,0.724,0.224,0.0,0.533
TSLA,-0.03,-0.093,0.852,0.558,-0.099,-0.41,0.15,0.788,0.533,0.0
