,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.729,0.319,0.887,0.702,-0.821,0.843,-0.587,0.814,0.771
AAPL,-0.729,0.0,0.09,-0.717,-0.489,0.827,-0.505,0.601,-0.456,-0.375
AMD,0.319,0.09,0.0,0.486,0.682,-0.05,0.659,-0.196,0.529,0.696
AMZN,0.887,-0.717,0.486,0.0,0.816,-0.748,0.907,-0.576,0.817,0.811
GOOGL,0.702,-0.489,0.682,0.816,0.0,-0.686,0.826,-0.759,0.788,0.888
INTC,-0.821,0.827,-0.05,-0.748,-0.686,0.0,-0.621,0.826,-0.589,-0.591
MARA,0.843,-0.505,0.659,0.907,0.826,-0.621,0.0,-0.489,0.854,0.909
NVDA,-0.587,0.601,-0.196,-0.576,-0.759,0.826,-0.489,0.0,-0.537,-0.601
PLUG,0.814,-0.456,0.529,0.817,0.788,-0.589,0.854,-0.537,0.0,0.915
TSLA,0.771,-0.375,0.696,0.811,0.888,-0.591,0.909,-0.601,0.915,0.0
