,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.22,-0.205,0.27,0.063,0.419,0.109,0.054,0.144,0.423
AAPL,0.22,0.0,0.648,0.832,0.929,0.839,0.913,0.929,0.88,0.869
AMD,-0.205,0.648,0.0,0.293,0.681,0.452,0.583,0.71,0.593,0.484
AMZN,0.27,0.832,0.293,0.0,0.863,0.856,0.915,0.834,0.869,0.855
GOOGL,0.063,0.929,0.681,0.863,0.0,0.826,0.963,0.966,0.929,0.88
INTC,0.419,0.839,0.452,0.856,0.826,0.0,0.807,0.771,0.785,0.864
MARA,0.109,0.913,0.583,0.915,0.963,0.807,0.0,0.966,0.963,0.892
NVDA,0.054,0.929,0.71,0.834,0.966,0.771,0.966,0.0,0.958,0.844
PLUG,0.144,0.88,0.593,0.869,0.929,0.785,0.963,0.958,0.0,0.843
TSLA,0.423,0.869,0.484,0.855,0.88,0.864,0.892,0.844,0.843,0.0
