,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.564,0.838,0.475,0.744,0.883,0.772,0.076,0.643,0.918
AAPL,0.564,0.0,0.682,0.462,0.82,0.735,0.355,0.617,-0.02,0.423
AMD,0.838,0.682,0.0,0.693,0.811,0.921,0.887,0.315,0.434,0.887
AMZN,0.475,0.462,0.693,0.0,0.673,0.63,0.645,0.394,0.191,0.592
GOOGL,0.744,0.82,0.811,0.673,0.0,0.889,0.602,0.493,0.149,0.639
INTC,0.883,0.735,0.921,0.63,0.889,0.0,0.799,0.277,0.368,0.82
MARA,0.772,0.355,0.887,0.645,0.602,0.799,0.0,0.012,0.545,0.895
NVDA,0.076,0.617,0.315,0.394,0.493,0.277,0.012,0.0,-0.304,0.016
PLUG,0.643,-0.02,0.434,0.191,0.149,0.368,0.545,-0.304,0.0,0.67
TSLA,0.918,0.423,0.887,0.592,0.639,0.82,0.895,0.016,0.67,0.0
