,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.926,-0.788,-0.852,-0.695,0.497,-0.797,-0.903,-0.278,-0.79
AAPL,-0.926,0.0,0.889,0.768,0.785,-0.524,0.706,0.96,0.446,0.869
AMD,-0.788,0.889,0.0,0.513,0.64,-0.444,0.581,0.934,0.545,0.86
AMZN,-0.852,0.768,0.513,0.0,0.656,-0.587,0.654,0.694,0.024,0.555
GOOGL,-0.695,0.785,0.64,0.656,0.0,-0.207,0.603,0.725,0.347,0.71
INTC,0.497,-0.524,-0.444,-0.587,-0.207,0.0,-0.045,-0.522,-0.287,-0.497
MARA,-0.797,0.706,0.581,0.654,0.603,-0.045,0.0,0.666,0.023,0.557
NVDA,-0.903,0.96,0.934,0.694,0.725,-0.522,0.666,0.0,0.522,0.917
PLUG,-0.278,0.446,0.545,0.024,0.347,-0.287,0.023,0.522,0.0,0.653
TSLA,-0.79,0.869,0.86,0.555,0.71,-0.497,0.557,0.917,0.653,0.0
