,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.939,-0.444,0.763,-0.561,-0.01,0.855,0.439,0.306,0.718
AAPL,0.939,0.0,-0.553,0.868,-0.566,-0.006,0.873,0.52,0.181,0.728
AMD,-0.444,-0.553,0.0,-0.606,0.801,0.24,-0.724,-0.288,0.5,-0.186
AMZN,0.763,0.868,-0.606,0.0,-0.525,-0.047,0.758,0.439,0.035,0.543
GOOGL,-0.561,-0.566,0.801,-0.525,0.0,0.39,-0.738,0.009,0.445,-0.131
INTC,-0.01,-0.006,0.24,-0.047,0.39,0.0,-0.314,0.58,0.443,0.124
MARA,0.855,0.873,-0.724,0.758,-0.738,-0.314,0.0,0.378,-0.046,0.678
NVDA,0.439,0.52,-0.288,0.439,0.009,0.58,0.378,0.0,0.352,0.694
PLUG,0.306,0.181,0.5,0.035,0.445,0.443,-0.046,0.352,0.0,0.47
TSLA,0.718,0.728,-0.186,0.543,-0.131,0.124,0.678,0.694,0.47,0.0
