,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.825,0.284,-0.79,-0.412,0.781,-0.118,-0.727,-0.873,-0.653
AAPL,-0.825,0.0,0.125,0.943,0.778,-0.429,0.16,0.928,0.87,0.849
AMD,0.284,0.125,0.0,0.232,0.588,0.541,0.144,0.37,-0.204,0.286
AMZN,-0.79,0.943,0.232,0.0,0.84,-0.444,0.05,0.971,0.859,0.952
GOOGL,-0.412,0.778,0.588,0.84,0.0,0.001,0.173,0.856,0.572,0.853
INTC,0.781,-0.429,0.541,-0.444,0.001,0.0,0.076,-0.362,-0.565,-0.331
MARA,-0.118,0.16,0.144,0.05,0.173,0.076,0.0,0.114,-0.031,-0.061
NVDA,-0.727,0.928,0.37,0.971,0.856,-0.362,0.114,0.0,0.761,0.923
PLUG,-0.873,0.87,-0.204,0.859,0.572,-0.565,-0.031,0.761,0.0,0.807
TSLA,-0.653,0.849,0.286,0.952,0.853,-0.331,-0.061,0.923,0.807,0.0
