,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.691,-0.276,-0.057,0.026,0.434,0.567,0.384,-0.774,-0.414
AAPL,0.691,0.0,0.288,0.148,0.146,0.856,0.861,0.819,-0.421,0.073
AMD,-0.276,0.288,0.0,0.46,0.241,0.595,0.425,0.67,0.663,0.88
AMZN,-0.057,0.148,0.46,0.0,0.762,0.093,0.168,0.224,0.362,0.301
GOOGL,0.026,0.146,0.241,0.762,0.0,0.095,-0.028,0.012,0.239,0.032
INTC,0.434,0.856,0.595,0.093,0.095,0.0,0.79,0.877,-0.081,0.4
MARA,0.567,0.861,0.425,0.168,-0.028,0.79,0.0,0.884,-0.241,0.297
NVDA,0.384,0.819,0.67,0.224,0.012,0.877,0.884,0.0,-0.039,0.511
PLUG,-0.774,-0.421,0.663,0.362,0.239,-0.081,-0.241,-0.039,0.0,0.755
TSLA,-0.414,0.073,0.88,0.301,0.032,0.4,0.297,0.511,0.755,0.0
