date,nodes,pos_edges_cos,neg_edges_cos,pos_edges_ssa,neg_edges_ssa
2020-05-12,217,18066,7140,27556,17972
2020-05-13,217,18128,7324,27430,17998
2020-05-14,217,18110,7384,27340,18168
2020-05-15,217,18042,7594,27052,18380
2020-05-18,217,17784,7806,26774,18664
2020-05-19,217,17708,7736,26670,18698
2020-05-20,217,17366,7962,26282,18994
2020-05-21,217,17004,8268,25766,19466
2020-05-22,217,17238,7496,26212,19064
2020-05-25,217,17800,6338,27484,17818
2020-05-26,217,18108,6120,28308,17164
2020-05-27,217,18304,6154,28890,16662
2020-05-28,217,18434,6126,29290,16156
2020-05-29,217,18794,6316,29820,15694
2020-06-01,217,19142,6180,30226,15230
2020-06-02,217,19600,5664,31126,14338
2020-06-03,217,19670,5118,32390,13142
2020-06-04,217,19508,4894,32906,12758
2020-06-05,217,18836,4912,32434,13106
2020-06-08,217,18066,5028,31748,13788
2020-06-09,217,18104,5032,31534,14002
2020-06-10,217,18330,5324,31164,14440
2020-06-11,217,18210,5518,30752,14750
2020-06-12,217,18036,5546,30120,15308
2020-06-15,217,17756,5450,29972,15364
2020-06-16,217,17428,5586,29770,15520
2020-06-17,217,17318,5656,29976,15456
2020-06-18,217,17306,5428,30338,14954
2020-06-19,217,17208,5158,30502,14832
2020-06-22,217,16864,5018,30476,14672
2020-06-23,217,16718,5084,30132,15032
2020-06-24,217,17138,5068,30348,14874
2020-06-29,217,17110,5398,29876,15194
2020-06-30,217,17292,6066,29716,15580
2020-07-01,217,18058,5688,30492,14752
2020-07-02,217,19754,4382,33268,12164
2020-07-03,217,22866,2976,37970,7992
2020-07-06,217,26976,1722,42488,3858
2020-07-07,217,30782,1254,44518,2162
2020-07-08,217,33248,1084,44936,1768
2020-07-09,217,35214,900,45364,1392
2020-07-10,217,36254,778,45676,1146
2020-07-13,217,37130,666,45874,958
2020-07-14,217,37872,570,45988,864
2020-07-15,217,38456,488,46060,788
2020-07-16,217,38798,450,46080,780
2020-07-17,217,39140,442,46082,778
2020-07-20,217,39408,426,46102,758
2020-07-21,217,39642,430,46126,730
2020-07-22,217,39886,410,46156,706
2020-07-23,217,40542,344,46218,646
2020-07-24,217,41080,282,46260,610
