epoch,loss
1,0.5354534832635542
2,0.3402587804513343
3,0.30041038868834896
4,0.2798086814448832
5,0.2641750101050271
6,0.250826412654831
7,0.2390267001974944
8,0.22815688161054135
9,0.21787195411481183
10,0.20788708987449608
11,0.19815358858238324
12,0.18881258818604915
13,0.1802354030906141
14,0.1724117173800172
15,0.1651691667300089
16,0.15844151509874102
17,0.1522334941974423
18,0.1464543077733428
19,0.1409382132343345
20,0.13557697019986076
21,0.13032400261709287
22,0.12522885899369487
23,0.12026051156883454
24,0.11564027799770439
25,0.11136246552187828
26,0.1074882620880341
27,0.10399523960747628
28,0.10074369085101818
29,0.0977827882796584
30,0.09501563894653536
