date,nodes,pos_edges_cos,neg_edges_cos,pos_edges_ssa,neg_edges_ssa
2020-05-07,200,24214,1354
2020-05-08,200,23530,1446
2020-05-11,200,22918,1544
2020-05-12,200,21906,1906
2020-05-13,200,20928,2088
2020-05-14,200,20372,2212
2020-05-15,200,19536,2588
2020-05-18,200,19050,2756
2020-05-19,200,19326,2762
2020-05-20,200,19398,2718
2020-05-21,200,19348,2798
2020-05-22,200,19328,2828
2020-05-26,200,19104,2850
2020-05-27,200,18322,3014
2020-05-28,200,17626,3350
2020-05-29,200,17200,3670
2020-06-01,200,17750,3544
2020-06-02,200,18326,3400
2020-06-03,200,18890,3272
2020-06-04,200,19310,3196
2020-06-05,200,20032,3150
2020-06-08,200,20438,3230
2020-06-09,200,20712,3536
2020-06-10,200,21118,3860
2020-06-11,200,21098,3658
2020-06-12,200,21222,3568
2020-06-15,200,21448,3520
2020-06-16,200,21382,3616
2020-06-17,200,21238,3608
2020-06-18,200,20920,3576
2020-06-19,200,20758,3456
2020-06-22,200,20620,3468
2020-06-23,200,20296,3672
2020-06-24,200,19732,3784
2020-06-25,200,19052,3884
2020-06-26,200,18622,3996
2020-06-29,200,18168,4130
2020-06-30,200,17602,4214
2020-07-01,200,16880,4272
2020-07-02,200,16166,4102
2020-07-06,200,14970,4050
2020-07-07,200,13154,4832
2020-07-08,200,12058,5970
2020-07-09,200,11656,7536
2020-07-10,200,11796,8132
2020-07-13,200,11986,8346
2020-07-14,200,11956,8482
2020-07-15,200,12060,8324
2020-07-16,200,12120,8168
2020-07-17,200,12260,7826
2020-07-20,200,12408,7758
2020-07-21,200,12836,7230
2020-07-22,200,12984,7340
2020-07-23,200,13108,7240
2020-07-24,200,12972,7116
2020-07-27,200,12864,7112
2020-07-28,200,12766,7258
2020-07-29,200,12588,7150
2020-07-30,200,12484,7208
2020-07-31,200,12270,7262
2020-08-03,200,12124,7174
2020-08-04,200,12208,6582
2020-08-05,200,12808,5972
2020-08-06,200,13238,5614
2020-08-07,200,13666,5490
2020-08-10,200,14336,5242
2020-08-11,200,14626,5262
2020-08-12,200,14588,5346
2020-08-13,200,14642,5444
2020-08-14,200,14674,5656
2020-08-17,200,14638,5810
2020-08-18,200,14282,6004
2020-08-19,200,13832,5966
2020-08-20,200,13598,6162
2020-08-21,200,13680,6190
2020-08-24,200,13612,6184
2020-08-25,200,13618,6168
2020-08-26,200,13510,6202
2020-08-27,200,13596,6156
2020-08-28,200,13618,6190
2020-08-31,200,13474,6174
2020-09-01,200,13226,6226
2020-09-02,200,12970,6388
2020-09-03,200,12918,6500
2020-09-04,200,12820,6244
2020-09-08,200,12798,5872
2020-09-09,200,12396,6028
2020-09-10,200,12382,6376
2020-09-11,200,12576,6616
2020-09-14,200,12546,6906
2020-09-15,200,12412,7026
2020-09-16,200,12334,7158
2020-09-17,200,12132,7234
2020-09-18,200,12114,7366
2020-09-21,200,12264,7048
2020-09-22,200,12400,6932
2020-09-23,200,12662,6584
2020-09-24,200,13186,6080
2020-09-25,200,13410,5882
2020-09-28,200,13282,5688
2020-09-29,200,13302,5582
2020-09-30,200,13494,5666
2020-10-01,200,13776,5814
2020-10-02,200,13942,5902
2020-10-05,200,14108,5560
2020-10-06,200,14092,5494
2020-10-07,200,14470,5112
2020-10-08,200,15096,4620
2020-10-09,200,15544,4214
2020-10-12,200,16410,3550
2020-10-13,200,17250,3244
2020-10-14,200,17970,3106
2020-10-15,200,18484,3038
2020-10-16,200,19268,3074
2020-10-19,200,19538,2866
2020-10-20,200,19602,2760
2020-10-21,200,19282,2834
2020-10-22,200,18482,3262
2020-10-23,200,18032,3624
2020-10-26,200,17978,3530
2020-10-27,200,18130,3342
2020-10-28,200,18754,2804
2020-10-29,200,19754,2562
2020-10-30,200,20348,2436
2020-11-02,200,20326,2490
2020-11-03,200,19382,2588
2020-11-04,200,18536,2686
2020-11-05,200,17504,2742
2020-11-06,200,16542,2952
2020-11-09,200,16062,2842
2020-11-10,200,15708,2944
2020-11-11,200,15648,3156
2020-11-12,200,15712,3232
2020-11-13,200,15804,3384
2020-11-16,200,15858,3536
2020-11-17,200,16332,3578
2020-11-18,200,16696,3668
2020-11-19,200,16922,3736
2020-11-20,200,17220,3794
2020-11-23,200,17576,3820
2020-11-24,200,17902,3738
2020-11-25,200,17644,3666
2020-11-27,200,17338,3818
2020-11-30,200,16840,4186
2020-12-01,200,16862,4492
2020-12-02,200,17310,4658
2020-12-03,200,17986,4662
2020-12-04,200,18478,4360
2020-12-07,200,18914,4066
2020-12-08,200,19344,4282
2020-12-09,200,19866,4118
2020-12-10,200,19798,4172
2020-12-11,200,19504,4206
2020-12-14,200,19174,4054
2020-12-15,200,19116,4122
2020-12-16,200,19062,4414
2020-12-17,200,19090,4594
2020-12-18,200,18996,4688
2020-12-21,200,18120,4696
2020-12-22,200,17326,4806
2020-12-23,200,16872,5066
2020-12-24,200,16568,5354
2020-12-28,200,16166,5648
2020-12-29,200,15760,5828
2020-12-30,200,15270,6066
2020-12-31,200,14880,6044
2021-01-04,200,14596,5924
2021-01-05,200,13988,6056
2021-01-06,200,13146,5720
2021-01-07,200,13420,5238
2021-01-08,200,13976,4824
2021-01-11,200,14370,4756
2021-01-12,200,15054,4602
2021-01-13,200,15272,4562
2021-01-14,200,15628,4544
2021-01-15,200,15670,4710
2021-01-19,200,15608,4764
2021-01-20,200,15808,4912
2021-01-21,200,15886,4680
2021-01-22,200,16196,4664
2021-01-25,200,16552,4860
2021-01-26,200,16818,5004
2021-01-27,200,16742,5010
2021-01-28,200,16738,4978
2021-01-29,200,16690,4980
2021-02-01,200,16516,5068
2021-02-02,200,16422,5052
2021-02-03,200,16616,5134
2021-02-04,200,16576,5032
