date,n_nodes,cos_pos,pred_pos,overlap_cos_pred_pos,cos_neg,pred_neg,overlap_cos_pred_neg,cos_pos_to_pred_neg,cos_neg_to_pred_pos
2020-05-07,486,115158,94433,57235,12490,17504,6073,93,64
2020-05-08,486,105992,91326,52938,13338,20289,6596,12,22
2020-05-11,486,101340,83602,50570,13764,26863,6801,19,20
2020-05-12,486,95324,84251,47614,15810,25519,7856,3,10
2020-05-13,486,105844,86299,52344,14076,25566,6960,177,25
2020-05-14,486,120120,91817,58593,12098,21980,5776,689,105
2020-05-15,486,120590,92960,60093,13808,20088,6774,51,32
2020-05-18,486,118556,90692,58108,13248,24593,6292,847,236
2020-05-19,486,118168,91843,58154,12912,23307,6252,671,141
2020-05-20,486,119078,90543,58471,12986,24993,6321,769,131
2020-05-21,486,118730,89307,58238,13290,25683,6504,720,100
2020-05-22,486,118134,93320,58561,13652,18954,6571,161,112
2020-05-26,486,120118,92753,59261,15116,21308,7262,353,129
2020-05-27,486,117496,87922,57393,17418,26954,8372,931,202
2020-05-28,486,115840,87261,56558,18514,27558,8991,966,162
2020-05-29,486,115970,90393,56938,18270,23945,8788,669,240
2020-06-01,486,118260,93084,58444,18122,21839,8790,373,148
2020-06-02,486,118646,92921,58917,19270,22038,9459,214,82
2020-06-03,486,122828,91691,60898,19170,23756,9466,289,66
2020-06-04,486,123878,91413,61674,20502,23670,10168,154,33
2020-06-05,486,126514,90303,62541,20734,25685,10218,480,89
2020-06-08,486,128772,89461,63790,21756,26212,10770,291,51
2020-06-09,486,128786,92399,63859,21660,22250,10612,296,132
2020-06-10,486,127568,93618,63459,20770,21516,10121,167,141
2020-06-11,486,125000,92284,61553,15260,23799,7393,664,169
2020-06-12,486,118856,93178,58405,11484,20642,5430,512,136
2020-06-15,486,124266,100306,61075,8676,13833,4077,391,121
2020-06-16,486,129394,101975,63470,8296,13455,3747,732,208
2020-06-17,486,135992,101274,67134,8284,12285,3969,224,52
2020-06-18,486,145732,99646,71532,8898,14354,4265,493,81
2020-06-19,486,151104,99522,74501,9828,16239,4769,765,85
2020-06-22,486,156854,98492,77803,11654,17222,5710,352,69
2020-06-23,486,160406,98951,79732,12826,16743,6317,281,46
