date,n_nodes,cos_pos,ssa_pos,pred_pos,overlap_cos_pred_pos,overlap_ssa_pred_pos,overlap_cos_ssa_pos,cos_neg,ssa_neg,pred_neg,overlap_cos_pred_neg,overlap_ssa_pred_neg,overlap_cos_ssa_neg,ssa_pos_neg_overlap,cos_pos_to_pred_neg,cos_neg_to_pred_pos
2020-05-12,217,18283,37915,9257,5092,8334,18283,7140,26042,14179,2887,9496,7140,16902,3941,683
2020-05-13,217,18345,37731,8484,4417,7346,18345,7324,26066,14952,2775,9486,7324,16730,4647,887
2020-05-14,217,18327,37433,9498,4672,8095,18327,7384,26144,13938,2697,8801,7384,16502,4383,995
2020-05-15,217,18259,37219,9709,3949,7642,18259,7594,26460,13727,2258,7956,7594,16596,5072,1539
2020-05-18,217,18001,37067,9963,3597,7790,18001,7806,26684,13473,2194,7510,7806,16662,5295,1709
2020-05-19,217,17925,36943,9177,3144,6960,17925,7736,26880,14259,2161,7860,7736,16744,5710,1707
2020-05-20,217,17583,36597,9551,3470,7424,17583,7962,27124,13885,2381,7903,7962,16644,5213,1600
2020-05-21,217,17221,36267,10624,3875,8219,17221,8268,27516,12812,2274,7451,8268,16696,4627,1860
2020-05-22,217,17455,36987,13607,5044,10940,17455,7496,27198,9829,1754,5735,7496,17098,3575,1994
2020-05-25,217,18017,38687,15970,6398,13446,18017,6338,26932,7466,1236,4550,6338,18530,2502,1933
2020-05-26,217,18325,39259,11427,4543,9788,18325,6120,26768,12009,1755,6935,6120,18938,4511,1305
2020-05-27,217,18521,39427,11192,5054,10047,18521,6154,26598,12244,2137,7597,6154,18966,4098,940
2020-05-28,217,18651,39031,11998,5075,10466,18651,6126,26212,11438,1905,6735,6126,18196,4142,1158
2020-05-29,217,19011,38879,11192,5022,9808,19011,6316,25824,12244,2097,7296,6316,17642,4375,1061
2020-06-01,217,19359,38749,10480,5190,9266,19359,6180,25056,12956,2249,7786,6180,16732,4381,841
2020-06-02,217,19817,39861,9580,4901,8694,19817,5664,25064,13856,2206,8280,5664,17842,4899,626
2020-06-03,217,19887,40933,9294,4406,8370,19887,5118,25080,14142,1820,7983,5118,18932,5429,739
2020-06-04,217,19725,41321,8421,4213,7631,19725,4894,25120,15015,1757,8666,4894,19358,5541,690
2020-06-05,217,19053,41079,8097,3947,7226,19053,4912,25712,15339,1755,9070,4912,19710,5471,701
2020-06-08,217,18283,40949,9223,4531,8310,18283,5028,26338,14213,1790,8856,5028,20202,4502,724
2020-06-09,217,18321,40885,9697,4916,8686,18321,5032,26304,13739,1717,8859,5032,20102,4136,799
2020-06-10,217,18547,40521,8662,4635,7847,18547,5324,26102,14774,2001,9366,5324,19544,4530,661
2020-06-11,217,18427,39987,9530,4869,8329,18427,5518,25802,13906,1888,8723,5518,18710,4236,871
2020-06-12,217,18253,39547,10700,4142,8877,18253,5546,26228,12736,1493,7197,5546,18712,4876,1280
2020-06-15,217,17973,39839,10565,4617,9304,17973,5450,26620,12871,1887,7864,5450,19376,4261,838
2020-06-16,217,17645,39429,9804,3873,8509,17645,5586,26912,13632,1922,7994,5586,19290,4841,871
2020-06-17,217,17535,39813,8944,3842,8040,17535,5656,27232,14492,2166,8920,5656,19992,4817,662
2020-06-18,217,17523,40099,8950,3634,7949,17523,5428,26950,14486,2028,8611,5428,20000,5019,686
2020-06-19,217,17425,40289,8319,3345,7419,17425,5158,26878,15117,1919,8913,5158,20122,5259,660
2020-06-22,217,17081,40221,9802,4320,8973,17081,5018,26906,13634,1986,8635,5018,20052,4112,523
2020-06-23,217,16935,39803,10099,4741,9042,16935,5084,26760,13337,1877,8694,5084,19488,3618,665
2020-06-24,217,17355,39609,10467,5335,9562,17355,5068,26016,12969,1981,8653,5068,18544,3234,553
