,FGBIP,OCCIO,SWIM,TMCI
FGBIP,1.0,0.20631956797859993,0.16719578499508828,-0.35385304693811553
OCCIO,0.20631956797859993,1.0,0.1977787557880532,-0.16387309064387948
SWIM,0.16719578499508828,0.1977787557880532,1.0,-0.10340398071691292
TMCI,-0.35385304693811553,-0.16387309064387948,-0.10340398071691292,1.0
