,BRZE,CRGO,IREN,LUNR
BRZE,1.0,-0.07560897880610691,0.6979230070470119,-0.06220686796601961
CRGO,-0.07560897880610691,1.0,-0.006648586016550254,0.3170392639137931
IREN,0.6979230070470119,-0.006648586016550254,1.0,-0.06941528343283745
LUNR,-0.06220686796601961,0.3170392639137931,-0.06941528343283745,1.0
