,ALGM,GLTO,LESL
ALGM,1.0,-0.11974368981227554,-0.04806759836812065
GLTO,-0.11974368981227554,1.0,-0.3199638379928652
LESL,-0.04806759836812065,-0.3199638379928652,1.0
