,DH,KTTA,NXXT,PRCT,TYRA
DH,1.0,0.3718203877035246,0.25380030009287,-0.2799448899798963,0.5259509482775389
KTTA,0.3718203877035246,1.0,0.20847472870787845,-0.06583199822934802,0.4658964512884098
NXXT,0.25380030009287,0.20847472870787845,1.0,-0.20511736862509697,0.3363350551120283
PRCT,-0.2799448899798963,-0.06583199822934802,-0.20511736862509697,1.0,-0.19258476242122752
TYRA,0.5259509482775389,0.4658964512884098,0.3363350551120283,-0.19258476242122752,1.0
