,CMPO,EOSEW,OLMA,TLS
CMPO,1.0,-0.15983152397644124,-0.521647214497772,0.18781059923054694
EOSEW,-0.15983152397644124,1.0,0.2906005351952011,-0.11964790729213659
OLMA,-0.521647214497772,0.2906005351952011,1.0,-0.19829013488280847
TLS,0.18781059923054694,-0.11964790729213659,-0.19829013488280847,1.0
