,BAER,JWEL,MBINN,SNCY
BAER,1.0,0.47600515697422763,0.6473913685973763,0.6251168247860046
JWEL,0.47600515697422763,1.0,0.42994345353984126,0.48746669002989645
MBINN,0.6473913685973763,0.42994345353984126,1.0,0.7330484508791238
SNCY,0.6251168247860046,0.48746669002989645,0.7330484508791238,1.0
