,AKYA,BMEA,RXRX,SDA
AKYA,1.0,0.5548291760920367,0.6234951242327735,-0.2639550295710365
BMEA,0.5548291760920367,1.0,0.6012888195931392,0.11608638379218746
RXRX,0.6234951242327735,0.6012888195931392,1.0,0.21392813777693526
SDA,-0.2639550295710365,0.11608638379218746,0.21392813777693526,1.0
