,KRON,OUST,SPRB,STTK
KRON,1.0,0.20874406530270045,-0.4318867685326174,-0.6034865317200893
OUST,0.20874406530270045,1.0,-0.33872344072620986,-0.34582372028867925
SPRB,-0.4318867685326174,-0.33872344072620986,1.0,0.5159130457222382
STTK,-0.6034865317200893,-0.34582372028867925,0.5159130457222382,1.0
