,ANNX,INZY,ITOS,NRIX
ANNX,1.0,0.6816538694555438,0.7528741407868611,0.5633656317132543
INZY,0.6816538694555438,1.0,0.7148918613478487,0.580060412280288
ITOS,0.7528741407868611,0.7148918613478487,1.0,0.4078383441582
NRIX,0.5633656317132543,0.580060412280288,0.4078383441582,1.0
