,AFCG,CNTB,FTAIN,GANX,TIL
AFCG,1.0,0.35257133531095153,0.4081253762645701,0.18502400372698563,-0.16899431675580634
CNTB,0.35257133531095153,1.0,0.37529289937454474,0.5092071403550876,-0.05046820466644124
FTAIN,0.4081253762645701,0.37529289937454474,1.0,0.06126576483099697,-0.6315485196254784
GANX,0.18502400372698563,0.5092071403550876,0.06126576483099697,1.0,0.12520468215916775
TIL,-0.16899431675580634,-0.05046820466644124,-0.6315485196254784,0.12520468215916775,1.0
