,PBBK,RPID,SERA,SGHT
PBBK,1.0,-0.4343755655425904,-0.5663064844096978,-0.31639636099837254
RPID,-0.4343755655425904,1.0,0.5552211414682706,0.5496556311085234
SERA,-0.5663064844096978,0.5552211414682706,1.0,0.6430167234825424
SGHT,-0.31639636099837254,0.5496556311085234,0.6430167234825424,1.0
