,CYTHW,MASS,MYPSW
CYTHW,1.0,0.5285572687075087,0.17028465384060276
MASS,0.5285572687075087,1.0,-0.05985261598226268
MYPSW,0.17028465384060276,-0.05985261598226268,1.0
