,CCSI,DJT,OABI,OLPX,WINV
CCSI,1.0,0.29654346953837224,-0.2901340223147657,0.1435857100637264,0.35630873060857193
DJT,0.29654346953837224,1.0,0.3229133060466422,0.6713476196566928,0.10147465775713745
OABI,-0.2901340223147657,0.3229133060466422,1.0,0.12916371726563797,-0.011723350082866044
OLPX,0.1435857100637264,0.6713476196566928,0.12916371726563797,1.0,0.034620202737258965
WINV,0.35630873060857193,0.10147465775713745,-0.011723350082866044,0.034620202737258965,1.0
