,FOSLL,SOPA,SWAG,TCBX
FOSLL,1.0,0.01934732591839509,0.1809626856885976,0.3010262029975793
SOPA,0.01934732591839509,1.0,0.12095120639677093,-0.24855765131669702
SWAG,0.1809626856885976,0.12095120639677093,1.0,-0.0030568661193148467
TCBX,0.3010262029975793,-0.24855765131669702,-0.0030568661193148467,1.0
