,BLFY,ERAS,PRE,RGC,TCBS,TCRX
BLFY,1.0,0.2141639873832213,0.1942436343986096,-0.3943792701892966,0.6392561925796667,0.4180386334170129
ERAS,0.2141639873832213,1.0,0.10539275027459101,0.09539191507049391,0.11375759795810161,0.16393314516053437
PRE,0.1942436343986096,0.10539275027459101,1.0,-0.03528842401583695,0.08923038826431598,0.06628903323528237
RGC,-0.3943792701892966,0.09539191507049391,-0.03528842401583695,1.0,-0.19876651295482917,-0.30220629530697646
TCBS,0.6392561925796667,0.11375759795810161,0.08923038826431598,-0.19876651295482917,1.0,0.37798020087137646
TCRX,0.4180386334170129,0.16393314516053437,0.06628903323528237,-0.30220629530697646,0.37798020087137646,1.0
