,AGFY,HYPR,SHLS,TIRX,VINP
AGFY,1.0,0.270413774935761,0.30087861235326446,-0.46375129741933063,0.5640248639913537
HYPR,0.270413774935761,1.0,0.07500797734493239,-0.23746142205012205,0.2795999646387601
SHLS,0.30087861235326446,0.07500797734493239,1.0,-0.3326791009937726,0.7012229679527916
TIRX,-0.46375129741933063,-0.23746142205012205,-0.3326791009937726,1.0,-0.6118209013052895
VINP,0.5640248639913537,0.2795999646387601,0.7012229679527916,-0.6118209013052895,1.0
