,ANGH,AOUT,CCNEP,KYMR,NNOX
ANGH,1.0,-0.20330616667384005,-0.19115267144906306,0.0843087068195899,-0.1385749082128715
AOUT,-0.20330616667384005,1.0,0.5595471772398362,0.4643436829850609,-0.387951610645776
CCNEP,-0.19115267144906306,0.5595471772398362,1.0,0.4092392180086001,0.05339652111292124
KYMR,0.0843087068195899,0.4643436829850609,0.4092392180086001,1.0,-0.24855749412483283
NNOX,-0.1385749082128715,-0.387951610645776,0.05339652111292124,-0.24855749412483283,1.0
