,BTDR,DUOL,TBLD
BTDR,1.0,-0.13520436130279218,-0.31955450680898345
DUOL,-0.13520436130279218,1.0,0.33970146172035115
TBLD,-0.31955450680898345,0.33970146172035115,1.0
