,AMST,GLSI,GOVX,PMVP,PRLD,SYTA
AMST,1.0,0.21588712929046924,-0.45168864422959754,-0.39069547114393977,0.37862062476225694,-0.3856913992551031
GLSI,0.21588712929046924,1.0,0.020217385384819216,0.19155593391715878,0.3916808692743155,-0.28564619390188933
GOVX,-0.45168864422959754,0.020217385384819216,1.0,0.288863072404081,-0.17128486646463092,0.3819319912068131
PMVP,-0.39069547114393977,0.19155593391715878,0.288863072404081,1.0,0.002579454131182479,0.26959393222077294
PRLD,0.37862062476225694,0.3916808692743155,-0.17128486646463092,0.002579454131182479,1.0,-0.16308077964949505
SYTA,-0.3856913992551031,-0.28564619390188933,0.3819319912068131,0.26959393222077294,-0.16308077964949505,1.0
