,ADAG,EPOW,ISPO,NAMS,RELI,SABS
ADAG,1.0,0.8710648059147473,0.6890098278952312,0.5511822197753188,0.21179857419960296,0.7182007116859005
EPOW,0.8710648059147473,1.0,0.7463544559632516,0.5659386161045498,0.25390167910999983,0.6781051889232468
ISPO,0.6890098278952312,0.7463544559632516,1.0,0.6073018466690211,0.011427825751099588,0.6499267674192575
NAMS,0.5511822197753188,0.5659386161045498,0.6073018466690211,1.0,0.1558816513480062,0.5569893376569539
RELI,0.21179857419960296,0.25390167910999983,0.011427825751099588,0.1558816513480062,1.0,0.07381650379504975
SABS,0.7182007116859005,0.6781051889232468,0.6499267674192575,0.5569893376569539,0.07381650379504975,1.0
