,IOBT,MYNZ,ZAPP
IOBT,1.0,0.011863019127213152,-0.3080401037850121
MYNZ,0.011863019127213152,1.0,0.23358388162940963
ZAPP,-0.3080401037850121,0.23358388162940963,1.0
