,CRBU,CTKB,GAMB,OB,SOPH,USCB
CRBU,1.0,0.15048681348291598,0.3324802620878735,-0.45382081980519445,0.44014993170100764,0.5246437976318841
CTKB,0.15048681348291598,1.0,0.20119084153845496,0.20180507215864818,0.28049871046173536,-0.23213107577467004
GAMB,0.3324802620878735,0.20119084153845496,1.0,0.3863387157349493,0.23801316777275433,-0.09425166674795207
OB,-0.45382081980519445,0.20180507215864818,0.3863387157349493,1.0,-0.28921577805232174,-0.6008082237875294
SOPH,0.44014993170100764,0.28049871046173536,0.23801316777275433,-0.28921577805232174,1.0,0.512816652580876
USCB,0.5246437976318841,-0.23213107577467004,-0.09425166674795207,-0.6008082237875294,0.512816652580876,1.0
