,AVTE,CDZIP,CPOP,CVRX,IAS,INTA,LZ,NYMTL,PROK,TBLA,XMTR
AVTE,1.0,0.12041430759931446,0.828325494571971,0.48292365815742117,0.20909889363939332,-0.5756327803490098,0.3049212466861598,0.4821801673346114,0.6360087340195546,0.18944709376700666,-0.5045523567850814
CDZIP,0.12041430759931446,1.0,0.2200333117560987,0.09034705330386532,0.28985435726004016,0.14937160151859366,0.02411849357196179,0.010448005181317083,0.1766072022126028,0.5648651397209539,0.02292602867368583
CPOP,0.828325494571971,0.2200333117560987,1.0,0.4109259459931486,0.33939543656731547,-0.47191377142031127,0.28346451048005916,0.35955660222610286,0.6473247804650453,0.23465566711115465,-0.4716611433439903
CVRX,0.48292365815742117,0.09034705330386532,0.4109259459931486,1.0,0.2366693888395847,-0.08824015961028811,0.44341957536255194,0.0475287314470151,0.4228634702773856,0.08660254522671681,-0.004542937563912242
IAS,0.20909889363939332,0.28985435726004016,0.33939543656731547,0.2366693888395847,1.0,0.2475359217032776,0.5941215001993327,0.15922073088955327,0.19899171398281315,0.2413669318664357,0.283024593451961
INTA,-0.5756327803490098,0.14937160151859366,-0.47191377142031127,-0.08824015961028811,0.2475359217032776,1.0,0.037939247556049605,-0.6052517107215833,-0.5541377371997538,0.21200091241095959,0.7952042118499273
LZ,0.3049212466861598,0.02411849357196179,0.28346451048005916,0.44341957536255194,0.5941215001993327,0.037939247556049605,1.0,0.16496926324195263,0.389306491769034,0.1718881099201252,0.16144582744364372
NYMTL,0.4821801673346114,0.010448005181317083,0.35955660222610286,0.0475287314470151,0.15922073088955327,-0.6052517107215833,0.16496926324195263,1.0,0.4635639700672984,0.10745238068573729,-0.5402807909211134
PROK,0.6360087340195546,0.1766072022126028,0.6473247804650453,0.4228634702773856,0.19899171398281315,-0.5541377371997538,0.389306491769034,0.4635639700672984,1.0,0.20712971283750478,-0.5153282997421866
TBLA,0.18944709376700666,0.5648651397209539,0.23465566711115465,0.08660254522671681,0.2413669318664357,0.21200091241095959,0.1718881099201252,0.10745238068573729,0.20712971283750478,1.0,0.002209670273438627
XMTR,-0.5045523567850814,0.02292602867368583,-0.4716611433439903,-0.004542937563912242,0.283024593451961,0.7952042118499273,0.16144582744364372,-0.5402807909211134,-0.5153282997421866,0.002209670273438627,1.0
