,BDMD,IMMX,NEUP,ZEO
BDMD,1.0,0.46075758580717324,-0.10640794775425422,0.16919296257034486
IMMX,0.46075758580717324,1.0,-0.2896562834942998,0.05623655942715853
NEUP,-0.10640794775425422,-0.2896562834942998,1.0,-0.1607455536843713
ZEO,0.16919296257034486,0.05623655942715853,-0.1607455536843713,1.0
