,AVDX,BBLG,BBLGW,CLST,HCTI
AVDX,1.0,-0.42535681287531013,-0.16744623630761113,0.47443529658026584,0.28448574241248087
BBLG,-0.42535681287531013,1.0,0.8902915225800487,-0.09768847509995122,0.1056178744723546
BBLGW,-0.16744623630761113,0.8902915225800487,1.0,0.10780545412739376,0.2825784278740779
CLST,0.47443529658026584,-0.09768847509995122,0.10780545412739376,1.0,0.45657669906009823
HCTI,0.28448574241248087,0.1056178744723546,0.2825784278740779,0.45657669906009823,1.0
