,ATCOL,CGABL,WALDW
ATCOL,1.0,0.26765071274533586,-0.0985500629005672
CGABL,0.26765071274533586,1.0,0.21676156786567247
WALDW,-0.0985500629005672,0.21676156786567247,1.0
