,ASO,AVO,CCCC,IMNM,LNSR
ASO,1.0,0.5064496632692176,0.4979659889488371,-0.6267447860396245,-0.1850739075864834
AVO,0.5064496632692176,1.0,0.43681123919791914,-0.25134713098135897,-0.4183473732678391
CCCC,0.4979659889488371,0.43681123919791914,1.0,-0.2239579904479135,0.09421660058393183
IMNM,-0.6267447860396245,-0.25134713098135897,-0.2239579904479135,1.0,0.2843453664177208
LNSR,-0.1850739075864834,-0.4183473732678391,0.09421660058393183,0.2843453664177208,1.0
