,CNTX,CYN,NVTS,SDIG,SEAT,WEST
CNTX,1.0,0.7657725609287551,-0.6674761395935749,0.22514114697410567,-0.09856465488227129,-0.21462524488450926
CYN,0.7657725609287551,1.0,-0.6379823593191587,0.31281175533989514,0.18903958115948483,-0.13934401160372678
NVTS,-0.6674761395935749,-0.6379823593191587,1.0,-0.319935157175362,0.04972581070596003,0.14835626632542173
SDIG,0.22514114697410567,0.31281175533989514,-0.319935157175362,1.0,0.20041892435404013,-0.01208767447420908
SEAT,-0.09856465488227129,0.18903958115948483,0.04972581070596003,0.20041892435404013,1.0,-0.17232701847885995
WEST,-0.21462524488450926,-0.13934401160372678,0.14835626632542173,-0.01208767447420908,-0.17232701847885995,1.0
