,ATAI,FEMY,IPSC,NEXN
ATAI,1.0,-0.037569634045299546,0.21556248093037356,0.2769847878383612
FEMY,-0.037569634045299546,1.0,-0.15808502825299053,-0.2629030735731679
IPSC,0.21556248093037356,-0.15808502825299053,1.0,0.3731824918328194
NEXN,0.2769847878383612,-0.2629030735731679,0.3731824918328194,1.0
