,BON,CFLT,GECCO,GLUE,ONMD,UPXI
BON,1.0,-0.6303099632724086,0.3384443696359956,-0.07529567617859038,0.07758261278956309,-0.6040547431591026
CFLT,-0.6303099632724086,1.0,-0.5619742960895037,-0.15539302271680472,0.04976982641733041,0.8616037086029154
GECCO,0.3384443696359956,-0.5619742960895037,1.0,0.19843565639703425,-0.32276810541054224,-0.5680226336570608
GLUE,-0.07529567617859038,-0.15539302271680472,0.19843565639703425,1.0,-0.25338353344165643,-0.136231038633887
ONMD,0.07758261278956309,0.04976982641733041,-0.32276810541054224,-0.25338353344165643,1.0,0.1354038513328885
UPXI,-0.6040547431591026,0.8616037086029154,-0.5680226336570608,-0.136231038633887,0.1354038513328885,1.0
