,DCBO,HLMN,SIGIP
DCBO,1.0,0.7236321354131101,0.03413844196027769
HLMN,0.7236321354131101,1.0,-0.07726792179250305
SIGIP,0.03413844196027769,-0.07726792179250305,1.0
