,COCO,PTLO,RWAY,VTYX
COCO,1.0,0.4925781654734137,0.399643676463335,0.37285319074795414
PTLO,0.4925781654734137,1.0,0.04796802910077473,0.42172753867818163
RWAY,0.399643676463335,0.04796802910077473,1.0,0.05034233887582327
VTYX,0.37285319074795414,0.42172753867818163,0.05034233887582327,1.0
