,IMPP,IMPPP,OCCIN,RILYG
IMPP,1.0,0.4862127818175842,-0.38228294459733203,-0.3497476922862589
IMPPP,0.4862127818175842,1.0,-0.4179243766512498,-0.07521062081273996
OCCIN,-0.38228294459733203,-0.4179243766512498,1.0,0.5081812405594153
RILYG,-0.3497476922862589,-0.07521062081273996,0.5081812405594153,1.0
