,CDIO,CISO,OXLCZ
CDIO,1.0,-0.12808769612753487,-0.38866707820161955
CISO,-0.12808769612753487,1.0,0.15754746245595563
OXLCZ,-0.38866707820161955,0.15754746245595563,1.0
