,NLSP,NLSPW,TRIN
NLSP,1.0,0.19434650357836308,-0.5124139440990719
NLSPW,0.19434650357836308,1.0,0.16566370905332078
TRIN,-0.5124139440990719,0.16566370905332078,1.0
