,IMRX,INAB,MXCT,RANI,RXST,TNYA
IMRX,1.0,-0.012589726532649554,-0.04869568028997434,0.13009447534641355,-0.4917939522550955,0.17331560912039068
INAB,-0.012589726532649554,1.0,0.4012687079781,-0.5027811416103607,-0.2144559001633441,-0.5864301438486559
MXCT,-0.04869568028997434,0.4012687079781,1.0,-0.1257554018517227,0.12937872646594945,-0.2562363527304689
RANI,0.13009447534641355,-0.5027811416103607,-0.1257554018517227,1.0,0.03011059842027916,0.5390579005596876
RXST,-0.4917939522550955,-0.2144559001633441,0.12937872646594945,0.03011059842027916,1.0,0.169871362504702
TNYA,0.17331560912039068,-0.5864301438486559,-0.2562363527304689,0.5390579005596876,0.169871362504702,1.0
